timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603210878245,5,/user/create,201,,Thread Group 1-1,text,true,,321,256,1,1,http://localhost:8082/user/create,5,0,1
1603210878314,3,/user/create,201,,Thread Group 1-2,text,true,,321,256,2,2,http://localhost:8082/user/create,2,0,0
1603210878373,3,/user/create,201,,Thread Group 1-3,text,true,,321,256,3,3,http://localhost:8082/user/create,2,0,0
1603210878425,5,/user/create,201,,Thread Group 1-4,text,true,,321,256,4,4,http://localhost:8082/user/create,4,0,1
1603210878492,2,/user/create,201,,Thread Group 1-5,text,true,,321,256,5,5,http://localhost:8082/user/create,1,0,0
1603210878251,257,/user/readall,200,,Thread Group 1-1,text,true,,97460,128,5,5,http://localhost:8082/user/readall,245,0,0
1603210878512,17,/user/update,202,,Thread Group 1-1,text,true,,321,239,5,5,http://localhost:8082/user/update/2186,16,0,0
1603210878529,1,/task/create,201,,Thread Group 1-1,text,true,,293,273,5,5,http://localhost:8082/task/create,1,0,0
1603210878570,2,/user/create,201,,Thread Group 1-6,text,true,,321,256,6,6,http://localhost:8082/user/create,1,0,0
1603210878317,293,/user/readall,200,,Thread Group 1-2,text,true,,97520,128,6,6,http://localhost:8082/user/readall,290,0,0
1603210878614,2,/user/update,202,,Thread Group 1-2,text,true,,321,239,6,6,http://localhost:8082/user/update/2187,2,0,0
1603210878617,1,/task/create,201,,Thread Group 1-2,text,true,,293,273,6,6,http://localhost:8082/task/create,1,0,0
1603210878430,196,/user/readall,200,,Thread Group 1-4,text,true,,97640,128,6,6,http://localhost:8082/user/readall,193,0,0
1603210878630,1,/user/update,202,,Thread Group 1-4,text,true,,321,239,7,7,http://localhost:8082/user/update/2189,1,0,0
1603210878632,1,/task/create,201,,Thread Group 1-4,text,true,,293,273,7,7,http://localhost:8082/task/create,1,0,0
1603210878632,1,/user/create,201,,Thread Group 1-7,text,true,,321,256,7,7,http://localhost:8082/user/create,1,0,0
1603210878376,286,/user/readall,200,,Thread Group 1-3,text,true,,97580,128,7,7,http://localhost:8082/user/readall,282,0,0
1603210878666,2,/user/update,202,,Thread Group 1-3,text,true,,321,239,7,7,http://localhost:8082/user/update/2188,2,0,0
1603210878668,1,/task/create,201,,Thread Group 1-3,text,true,,293,273,7,7,http://localhost:8082/task/create,1,0,0
1603210878691,2,/user/create,201,,Thread Group 1-8,text,true,,321,256,8,8,http://localhost:8082/user/create,2,0,0
1603210878530,212,/task/readall,200,,Thread Group 1-1,text,true,,32989,128,8,8,http://localhost:8082/task/readall,210,0,0
1603210878743,2,/task/update,202,,Thread Group 1-1,text,true,,293,300,8,8,http://localhost:8082/task/update/2139,2,0,0
1603210878494,254,/user/readall,200,,Thread Group 1-5,text,true,,97700,128,7,7,http://localhost:8082/user/readall,250,0,0
1603210878750,2,/user/create,201,,Thread Group 1-9,text,true,,321,256,8,8,http://localhost:8082/user/create,2,0,1
1603210878751,2,/user/update,202,,Thread Group 1-5,text,true,,321,239,8,8,http://localhost:8082/user/update/2190,2,0,0
1603210878753,1,/task/create,201,,Thread Group 1-5,text,true,,293,273,8,8,http://localhost:8082/task/create,1,0,0
1603210878619,178,/task/readall,200,,Thread Group 1-2,text,true,,33021,128,8,8,http://localhost:8082/task/readall,176,0,0
1603210878798,4,/task/update,202,,Thread Group 1-2,text,true,,293,300,8,8,http://localhost:8082/task/update/2140,3,0,0
1603210878811,1,/user/create,201,,Thread Group 1-10,text,true,,321,256,8,8,http://localhost:8082/user/create,1,0,0
