timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603269889415,9,/user/create,201,,Load Test 1-200,text,true,,321,256,1,1,http://localhost:8082/user/create,8,0,2
1603269889425,74,/user/readall,200,,Load Test 1-200,text,true,,32974,128,1,1,http://localhost:8082/user/readall,73,0,0
1603269889500,3,/user/update,202,,Load Test 1-200,text,true,,321,239,1,1,http://localhost:8082/user/update/3176,2,0,0
1603269889503,1,/task/create,201,,Load Test 1-200,text,true,,293,273,1,1,http://localhost:8082/task/create,1,0,0
1603269889504,20,/task/readall,200,,Load Test 1-200,text,true,,6537,128,1,1,http://localhost:8082/task/readall,19,0,0
1603269889524,2,/task/update,202,,Load Test 1-200,text,true,,293,300,1,1,http://localhost:8082/task/update/2928,2,0,0
1603269889526,2,/user/delete,204,,Load Test 1-200,,true,,191,218,1,1,http://localhost:8082/user/delete/3176,0,0,0
1603269889528,2,/user/create,201,,Load Test 1-200,text,true,,321,256,1,1,http://localhost:8082/user/create,2,0,1
1603269889565,2,/user/create,201,,Load Test 1-199,text,true,,321,256,2,2,http://localhost:8082/user/create,2,0,0
1603269889530,49,/user/readall,200,,Load Test 1-200,text,true,,32974,128,2,2,http://localhost:8082/user/readall,48,0,0
1603269889581,2,/user/update,202,,Load Test 1-200,text,true,,321,239,2,2,http://localhost:8082/user/update/3177,2,0,0
1603269889583,2,/task/create,201,,Load Test 1-200,text,true,,293,273,2,2,http://localhost:8082/task/create,2,0,0
1603269889585,23,/task/readall,200,,Load Test 1-200,text,true,,6537,128,2,2,http://localhost:8082/task/readall,22,0,0
1603269889568,40,/user/readall,200,,Load Test 1-199,text,true,,33034,128,2,2,http://localhost:8082/user/readall,38,0,0
1603269889608,3,/task/update,202,,Load Test 1-200,text,true,,293,300,2,2,http://localhost:8082/task/update/2929,3,0,0
